date_sk,data_completa,ano,mes,dia,dia_do_ano,semana_do_ano,dia_da_semana,nome_dia_da_semana,estacao
d29c0e31-daa5-4031-ad9a-dc7c546b4b5d,2000-01-12,2000,1,12,12,2,4,Wednesday,Inverno
6d00944d-5b60-4e0f-a2e4-ce9e980fbabe,2000-01-30,2000,1,30,30,5,1,Sunday,Inverno
bdefeaa2-7a32-4063-98fb-852939b4beb0,2000-03-11,2000,3,11,71,10,7,Saturday,Primavera
de2d5e12-2f27-4b8a-900a-1e0f144b3bf2,2000-04-01,2000,4,1,92,13,7,Saturday,Primavera
5bb9d63a-dc59-416f-bee7-21a31ca6e38c,2000-04-22,2000,4,22,113,16,7,Saturday,Primavera
c640e116-40f1-45f0-b29f-cc3193f80a79,2000-05-06,2000,5,6,127,18,7,Saturday,Primavera
efe907b6-eec9-4abc-97f0-b7287ef5eb60,2000-09-03,2000,9,3,247,36,1,Sunday,Outono
425b8a8c-39d4-40bb-a351-daf70fcff706,2000-10-06,2000,10,6,280,40,6,Friday,Outono
dda4da6c-75d3-493b-a2d8-c19c966d3a3f,2000-12-01,2000,12,1,336,48,6,Friday,Inverno
e208b57d-ae07-4c21-b7b8-a698dd95472f,2000-12-14,2000,12,14,349,50,5,Thursday,Inverno
b6480da2-1720-43b7-98fb-95c7a8d008d0,2001-02-19,2001,2,19,50,7,2,Monday,Inverno
25a708ee-a29c-4c26-a202-38aeaa6c110b,2001-03-08,2001,3,8,67,9,5,Thursday,Primavera
bba52b85-2421-4f26-a4a2-0221e611f0e3,2001-04-25,2001,4,25,115,16,4,Wednesday,Primavera
d1f62b6d-4299-43db-b397-d8ff7d7e79a8,2001-09-26,2001,9,26,269,38,4,Wednesday,Outono
8066ea95-0a62-4975-b8cd-1da0dc4397c6,2001-11-29,2001,11,29,333,47,5,Thursday,Outono
442c8476-ce11-4247-bdad-6afe0f260f24,2001-11-30,2001,11,30,334,47,6,Friday,Outono
bf4688f6-b62b-466b-8feb-66ff41721fb4,2001-12-02,2001,12,2,336,48,1,Sunday,Inverno
0816b4b1-ff09-4e14-9283-0016912111de,2001-12-14,2001,12,14,348,49,6,Friday,Inverno
23e1575f-8c44-4121-b698-1ba41d9009b4,2002-05-09,2002,5,9,129,18,5,Thursday,Primavera
6dc649b8-b00e-4e2e-8be1-36cc9b103729,2002-06-01,2002,6,1,152,21,7,Saturday,Verão
56fb0fb5-b8f8-414f-9a2d-ca77031c8ea7,2002-07-09,2002,7,9,190,27,3,Tuesday,Verão
03fe52d7-1699-49c4-8ff3-33bb3de3a8f0,2002-08-06,2002,8,6,218,31,3,Tuesday,Verão
e51c9044-22ab-4812-909e-ce15b43d87a1,2002-08-31,2002,8,31,243,34,7,Saturday,Verão
ca18829e-9d3f-4ddd-adc9-b719d0b1267b,2002-09-05,2002,9,5,248,35,5,Thursday,Outono
8314f87c-e0b7-4422-abb7-b842c8b62608,2003-01-03,2003,1,3,3,0,6,Friday,Inverno
8ae72ce7-3572-43ab-be69-17415b5e2d1c,2003-01-27,2003,1,27,27,4,2,Monday,Inverno
b1cdd785-d78b-4df8-941e-0fea4b28cc6d,2003-03-04,2003,3,4,63,9,3,Tuesday,Primavera
2db0efa8-7994-4593-ba75-1dee0521291e,2003-03-20,2003,3,20,79,11,5,Thursday,Primavera
4a9014ca-ecd9-4a47-976c-1fb3b1483f89,2003-03-29,2003,3,29,88,12,7,Saturday,Primavera
d6c25944-44c9-4f30-8ce6-dcd3ece83d0e,2003-07-18,2003,7,18,199,28,6,Friday,Verão
fea200d9-3c52-4788-a85f-652175361cbd,2003-09-18,2003,9,18,261,37,5,Thursday,Outono
75204ab5-bf1c-4cbc-b145-b7c7ec0e91bb,2004-01-10,2004,1,10,10,1,7,Saturday,Inverno
bf5d1ca7-1781-4af3-ba21-4d93294eca5f,2004-04-01,2004,4,1,92,13,5,Thursday,Primavera
eea96c3d-062b-4bf2-8a47-6a77695d88ca,2004-04-07,2004,4,7,98,14,4,Wednesday,Primavera
c1865be6-b494-4e86-b921-c0438e3cf92c,2004-05-26,2004,5,26,147,21,4,Wednesday,Primavera
09e63a22-aca2-49c7-bd3a-6978d909b0ef,2004-07-11,2004,7,11,193,28,1,Sunday,Verão
15cfd570-83ae-4e00-9f8b-ceda8c924390,2004-07-25,2004,7,25,207,30,1,Sunday,Verão
