geolocation_sk,geolocation_zip_code_prefix,geolocation_city,geolocation_state
73a47157-96c5-49bb-9050-a94c903576a9,69960,feijo,AC
b6c7e0d3-0ae1-4706-8779-e415936e88eb,69926,bujari,AC
888638ea-cfca-47cb-8117-35f3f904878b,69930,xapuri,AC
7af50e5b-c836-4229-8d16-073e26709028,69975,jordão,AC
ab53d0ad-1350-452e-836c-38a37436632c,69929,campinas,AC
c828c08d-fb9b-4083-a151-41099f217f71,69931,capixaba,AC
0acbb383-7c9d-4fbf-ad85-e37243afaa68,69970,tarauaca,AC
0c9e65dd-658f-409f-9a84-e7855304a71f,69932,brasileia,AC
401a4f28-97d2-4c75-96ca-0189fa561a9e,4011,sao paulo,AC
c9a9e21b-b0ac-4803-8c20-8898e46899fa,69945,acrelandia,AC
d67c7dae-aa3d-490f-b459-48343aba9f5f,69927,porto acre,AC
d84206d1-ea9a-4390-ae6b-cdadf240af86,69922,rio branco,AC
d100e4e3-7260-4189-b34f-965bf71e4feb,69917,rio branco,AC
fc8c1bb8-7a1f-4844-b91d-ecdfcea1ca0d,69902,rio branco,AC
ad2f9190-7bd7-4c78-a691-b0ad10441dcd,69903,rio branco,AC
46a986b1-1689-4016-b2ee-0619774e41b9,69909,rio branco,AC
2d9bcbec-38b1-43ca-92d3-cf8c234d68a2,69911,rio branco,AC
d9fb8e8a-3088-4ca7-ae4b-170569ca4da6,69920,rio branco,AC
f7940e95-b5f8-44c8-b84f-d170bad19e11,69919,rio branco,AC
ac1a6fe8-b3f1-4e63-964a-05f311c71e2b,69915,rio branco,AC
a39b115e-3757-45d6-9ceb-36428a735b75,69904,rio branco,AC
ded36f5c-b377-453a-832e-9551c8597ddc,69914,rio branco,AC
128a8b47-27eb-4265-9e29-93f662a43f0c,69900,rio branco,AC
421266b4-3a02-42b3-a562-cd944ff692ea,69912,rio branco,AC
5a9cb08f-9444-45d7-bc01-b01bbca1b48a,69908,rio branco,AC
fcd9d7b0-e7b9-43e2-9a7f-485cd89be329,69910,rio branco,AC
90a23145-943b-42cf-a00e-99a9809e3873,69918,rio branco,AC
a7f71528-b8fc-4ce0-b433-4a407488b401,69906,rio branco,AC
6eab9a55-7692-4d5f-a394-1827353143aa,69907,rio branco,AC
b6851516-aa5d-4106-a566-9a371b194f0d,69901,rio branco,AC
d21ab45f-b828-46c5-967f-f47adadeb2fc,69921,rio branco,AC
94fe47de-904e-4ba4-9417-73ec6a944f1e,69905,rio branco,AC
38a29c37-0ec7-4014-9dd7-218592b220d3,69935,assis brasil,AC
1661a938-2414-4239-b1e5-3dc19b6c82b2,69990,mâncio lima,AC
21ea2b0d-e92e-42a3-b561-bec4f5f0526f,69982,porto walter,AC
ae9402d4-7797-4c08-aeaa-f851420877d0,69950,manoel urbano,AC
b1358328-561b-4150-a285-1f66132ea5bf,21550,rio de janeiro,AC
35910e0f-471c-4522-a9d3-8980ff495c87,23056,rio de janeiro,AC
a2d601d7-95f1-4c27-96fb-062c56aec5e9,69940,sena madureira,AC
9aceb474-85c8-4938-b509-dcbfd5ea4ed2,69980,cruzeiro do sul,AC
482a4a11-4e52-4547-9e0d-50361edd5bbd,69934,epitaciolândia,AC
8b5b51c3-b3c1-452a-951e-ea0162aeb9cc,69985,rodrigues alves,AC
d5070329-c6bd-49d9-816f-16491be07157,69925,senador guiomard,AC
2f2ac53a-bac2-470d-b566-ab801a097695,69928,placido de castro,AC
5814229b-2e83-443c-8a50-9aaffd671efe,69955,santa rosa do purus,AC
1853b528-eebd-4335-adc4-ca4cdf57064b,69983,marechal thaumaturgo,AC
3949fe22-e43b-4b1e-bb95-1b344155a905,57630,belem,AL
88ba7700-7354-486f-b774-547c9f2dc7fa,57620,igaci,AL
0e2f0778-67ec-432d-9d07-7833f0e3f35b,57150,pilar,AL
8ac68afe-a602-41f7-8916-3dc1b72af4ea,57235,poxim,AL
d3685e00-e2fd-41a6-82e9-d712021965dc,57660,anadia,AL
17af6c85-7e55-4c97-b049-0c2d7e99bab7,57530,canapi,AL
9a76657a-1ded-4b93-906f-c8ddab59f818,57780,capela,AL
3f9bc6c3-1d67-4c6c-b708-567e0a27d4d9,57545,inhapi,AL
2bea5f2b-985b-44ad-aa6f-98728ac67343,57965,jundia,AL
a791ad41-511e-4ccb-9fe0-3d927e15a09d,57025,maceio,AL
c3bfdc02-fdf4-4470-a9b5-7059ff8fd739,57044,maceio,AL
2a84697a-55fc-4c91-9ff0-855b6f8d7fcd,57080,maceio,AL
7f2f9813-0c0b-4306-a18a-27df8f4c67f3,57083,maceio,AL
a07059ca-b483-44ce-8421-d784a17fbf38,57071,maceio,AL
cf23e2ac-5eb2-403c-86c2-1fb05082284c,57072,maceio,AL
c99ae036-feaf-4ba9-ab3a-84c951a49fd3,57048,maceio,AL
b29171e8-8a90-4b8f-86bb-4caf5226c792,57063,maceio,AL
1bd81fd2-bfb5-4678-b612-daa9d7379cab,57052,maceio,AL
b3087ab0-21b0-403d-8377-aacaeeb3219d,57036,maceio,AL
34fd83a6-5f70-4caf-b23e-b88029c168ce,57039,maceio,AL
d8b6160b-dee2-4482-a058-0bbba39400cb,57043,maceio,AL
af2c8edb-8c03-4ebb-8166-c64d50ed44da,57017,maceio,AL
28ccaa04-617a-4362-8e35-99464280f2ba,57081,maceio,AL
da5ba288-83b7-4c2a-bf14-0b6478cecab5,57051,maceio,AL
4fd8641e-8b3c-4470-acec-0341881f114b,57035,maceio,AL
12173a29-0629-4fb6-95a1-e4ab25913406,57062,maceio,AL
d664da13-5cb4-4416-a5bb-acfe16e00392,57045,maceio,AL
56a2a2da-9b22-4f55-a3a4-51ec4c10116f,57018,maceio,AL
abc69e78-1c4a-494d-8d78-1cc03a6bf4d0,57075,maceio,AL
0bef42eb-948b-4c53-a318-7471f5aeeb72,57073,maceio,AL
df059f4a-d8c5-4f31-bff3-3d98a8c0239b,57046,maceio,AL
7a6a6b63-4543-4868-abb9-0834a14f4445,57042,maceio,AL
06b03277-e88e-4ba4-8266-64a5a8e168c7,57060,maceio,AL
8feadad5-5771-44a0-b819-ab618332f4b6,57061,maceio,AL
6150b434-403b-4f3f-93b7-f0ae9dc9c212,57022,maceio,AL
0be19fd5-90fd-49aa-9a50-b4cbd106a401,57041,maceio,AL
783b053c-b279-4742-a2f6-9623d4d58fef,57015,maceio,AL
c534dc50-1536-47c0-9dd4-f4405b549773,57031,maceio,AL
b28c1a99-24dd-4b21-b8c1-f41fe73d8e29,57020,maceio,AL
2da02ccb-d8a2-416f-86fc-c2a60c33f3dd,57038,maceio,AL
3bc16f3e-8390-4add-ba58-33502a8f17c5,57040,maceio,AL
684601d4-c29d-4620-b3dc-466d5e41e22f,57030,maceio,AL
17e0203c-ba5a-43a8-978f-1fd9c63225af,57082,maceio,AL
0978e61d-b693-416c-bda7-13a2898598df,57055,maceio,AL
c7b9fa2c-8805-45d5-a5ee-7498f9b5f09c,57084,maceio,AL
cd94a46b-af71-48a7-ac55-c471b3078138,57057,maceio,AL
8d71075d-9658-492e-b1c7-ead7b340a123,57037,maceio,AL
040ac6ed-2ce8-4926-9ec1-dc16f53b6705,57086,maceio,AL
153a1890-d2da-4ac1-9148-909e3df5cd85,57074,maceio,AL
bd5476c6-0bc0-4936-a0a5-ace520dd8b49,57820,murici,AL
00c9b8bf-4155-4d15-ab3b-4c4ea41df804,57200,penedo,AL
4bb74a9f-10dd-403e-aba4-f4dbed3e0784,57120,satuba,AL
