product_sk,product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
68807d30-ad68-4d04-99cd-67a9029d090c,5eb564652db742ff8f28759cd8d2652a,,,,,,,,
d8c46fc1-61ab-43f0-86aa-75ed9855d44b,09ff539a621711667c43eba6a3bd8466,bebes,60,865,3,,,,
a8f50b97-4a10-45ec-92d6-fed452766834,34d6306314a47fe15c1efdbc23302020,informatica_acessorios,38,301,1,107,7,7,10
231fd48e-9de7-4930-8148-030c27c4d1c2,67d1a56495104e195338ec9007fcf758,pet_shop,20,2153,1,275,8,13,8
0e6d9459-ea5d-40c9-9cfa-6d4d21d90e2d,2f763ba79d9cd987b2034aac7ceffe06,eletronicos,45,1198,2,595,8,6,6
414656fb-579c-44ab-adbd-c0bc862c145e,096d687ce8c7ae68039cce3f229b1d4c,pet_shop,35,1008,2,665,9,9,8
43db047f-063c-4367-a8d2-089485df21cb,781ae1be29375f62847b894fb20a1cbe,cine_foto,50,413,2,117,9,11,12
0e688464-43f0-46e5-a4a6-b229a8f2c1bc,7d0e0214a0852cf0c90032c7992cf27f,market_place,51,144,2,125,10,9,11
d5c2ecfd-bab0-473d-ba63-da7c343fb9a3,220a2b9dd1e9990876de0ac999e1a33c,utilidades_domesticas,53,475,3,895,10,15,14
b0e7c714-8ab0-411b-a127-8447d68a0972,675f7d81de5e3dce0491b9b0ce921748,utilidades_domesticas,55,475,3,1535,10,15,14
0a12eac4-4b61-4623-8fb8-0a9c46d5c106,4666663905288ce384a71d096b22e7cd,papelaria,49,1048,2,1350,11,11,52
882a8e89-796b-4494-8b34-2b6e553c9032,7ddb76f2c7237acc852358b95e7946a8,papelaria,49,1048,2,2,11,11,52
8e94efa1-c5c1-42e8-a5b8-5e4fd048017c,3fddda7e92c16fa45033a4373a116e00,perfumaria,45,650,1,75,11,11,8
16d2dd5c-822a-45fe-8e3b-3d8e51c1789d,574841fd9d176e7e81693636106765a8,perfumaria,53,125,1,80,11,10,12
ee1f7811-45a8-4122-9f5f-18bc4a896278,2fea0f2cec6b6324a277d4a61c2ed2c6,beleza_saude,57,2026,3,100,11,11,11
33680922-10ff-474d-86fe-bc44b8d41bb5,5837bba0ce6e35e6f2dc5c3e223e3276,moveis_decoracao,52,1041,2,2,11,11,52
fcb459df-89f4-4590-95f1-0b22932a3d7b,f9fafac43d3416d92ecc303fdeb1743d,moveis_decoracao,51,1039,2,2,11,11,52
3d735a0d-2819-4818-9143-8295e6c89c01,32c871f1791d0176b14c3081c3cf3e74,moveis_decoracao,51,1006,2,2000,11,11,52
fd791c95-3077-4cf3-be26-61c336aad834,8aae4df46baf1278422b69edbb50bd35,moveis_decoracao,56,1002,2,2,11,11,52
68801d59-06e8-46fc-a908-786fd707191a,44f7b1ed935739690152f235ee6dc47f,moveis_decoracao,51,1040,2,1400,11,11,52
935cee6f-fbed-4dba-8055-9ca9b5c64b6b,ad7d07f5775feab3f20504d1ad3fff11,moveis_decoracao,50,1002,2,2,11,11,52
94d4ac64-d183-49bd-9409-04cf9a7fb13f,ca11a4b920d7e64e5d2230d5373e0f76,relogios_presentes,57,1000,1,300,11,9,16
